"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1539","should have a page title","webkit","Fri Apr 17 15:42:20 UTC 2026","passed","Fri Apr 17 15:42:22 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","687","should display Try for free button","firefox","Fri Apr 17 15:40:41 UTC 2026","passed","Fri Apr 17 15:40:42 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","745","should navigate to Pricing page","chromium","Fri Apr 17 15:39:10 UTC 2026","passed","Fri Apr 17 15:39:10 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3934","should submit form with Enter key","webkit","Fri Apr 17 15:44:25 UTC 2026","passed","Fri Apr 17 15:44:28 UTC 2026","Sign In Page Tests > Accessibility Tests","signIn.spec.js","",""
"","596","should display Get a demo button in hero","chromium","Fri Apr 17 15:39:06 UTC 2026","passed","Fri Apr 17 15:39:07 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","728","should display Get a demo button in hero","firefox","Fri Apr 17 15:40:42 UTC 2026","passed","Fri Apr 17 15:40:43 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","643","should display navigation links","chromium","Fri Apr 17 15:39:01 UTC 2026","passed","Fri Apr 17 15:39:02 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2408","should display correctly on tablet","chromium","Fri Apr 17 15:40:28 UTC 2026","passed","Fri Apr 17 15:40:30 UTC 2026","Sign In Page Tests > Responsive Tests","signIn.spec.js","",""
"","3856","should clear form fields","webkit","Fri Apr 17 15:44:14 UTC 2026","passed","Fri Apr 17 15:44:18 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","613","should display hero description text","chromium","Fri Apr 17 15:39:05 UTC 2026","passed","Fri Apr 17 15:39:06 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3636","should navigate to Login page","webkit","Fri Apr 17 15:42:49 UTC 2026","passed","Fri Apr 17 15:42:53 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","439","should have a page title","chromium","Fri Apr 17 15:39:00 UTC 2026","passed","Fri Apr 17 15:39:00 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","774","should display Features button","firefox","Fri Apr 17 15:40:36 UTC 2026","passed","Fri Apr 17 15:40:37 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2530","should have focusable form elements","chromium","Fri Apr 17 15:40:20 UTC 2026","passed","Fri Apr 17 15:40:22 UTC 2026","Sign In Page Tests > Accessibility Tests","signIn.spec.js","",""
"","1398","should display hero heading","webkit","Fri Apr 17 15:42:31 UTC 2026","passed","Fri Apr 17 15:42:33 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2733","should not sign in with malformed email","chromium","Fri Apr 17 15:39:58 UTC 2026","passed","Fri Apr 17 15:40:01 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","3095","should click Try for free link","webkit","Fri Apr 17 15:42:53 UTC 2026","passed","Fri Apr 17 15:42:56 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","572","should display hamburger menu on mobile","chromium","Fri Apr 17 15:39:20 UTC 2026","passed","Fri Apr 17 15:39:20 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2976","should not sign in with wrong password","firefox","Fri Apr 17 15:41:32 UTC 2026","passed","Fri Apr 17 15:41:35 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","2924","should navigate to Login page","firefox","Fri Apr 17 15:40:50 UTC 2026","passed","Fri Apr 17 15:40:53 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","580","should display Try for free button","chromium","Fri Apr 17 15:39:06 UTC 2026","passed","Fri Apr 17 15:39:06 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2797","should handle special characters in password","firefox","Fri Apr 17 15:41:47 UTC 2026","passed","Fri Apr 17 15:41:50 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","927","should display correctly on tablet viewport","firefox","Fri Apr 17 15:40:57 UTC 2026","passed","Fri Apr 17 15:40:57 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","860","should navigate to About page","chromium","Fri Apr 17 15:39:08 UTC 2026","passed","Fri Apr 17 15:39:09 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","741","should open Features dropdown","chromium","Fri Apr 17 15:39:09 UTC 2026","passed","Fri Apr 17 15:39:10 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2464","should mask password input","chromium","Fri Apr 17 15:40:17 UTC 2026","passed","Fri Apr 17 15:40:20 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","915","should display hero heading","firefox","Fri Apr 17 15:40:40 UTC 2026","passed","Fri Apr 17 15:40:41 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2611","should mask password input","firefox","Fri Apr 17 15:41:58 UTC 2026","passed","Fri Apr 17 15:42:01 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","1315","should display correctly on mobile viewport","webkit","Fri Apr 17 15:42:57 UTC 2026","passed","Fri Apr 17 15:42:59 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","690","should navigate to Blog page","chromium","Fri Apr 17 15:39:11 UTC 2026","passed","Fri Apr 17 15:39:12 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3933","should handle special characters in password","webkit","Fri Apr 17 15:44:03 UTC 2026","passed","Fri Apr 17 15:44:07 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2545","should navigate to forget password page","chromium","Fri Apr 17 15:39:45 UTC 2026","passed","Fri Apr 17 15:39:47 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","2640","should toggle remember me checkbox","firefox","Fri Apr 17 15:41:21 UTC 2026","passed","Fri Apr 17 15:41:24 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","3486","should handle long password input","webkit","Fri Apr 17 15:44:11 UTC 2026","passed","Fri Apr 17 15:44:14 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2706","should handle XSS attempt","chromium","Fri Apr 17 15:40:04 UTC 2026","passed","Fri Apr 17 15:40:06 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2667","should display Google sign in button","chromium","Fri Apr 17 15:39:28 UTC 2026","passed","Fri Apr 17 15:39:31 UTC 2026","Sign In Page Tests > UI Elements Visibility","signIn.spec.js","",""
"","3211","should handle SQL injection attempt","firefox","Fri Apr 17 15:41:41 UTC 2026","passed","Fri Apr 17 15:41:44 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","1771","should navigate to Pricing page","webkit","Fri Apr 17 15:42:43 UTC 2026","passed","Fri Apr 17 15:42:45 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3346","should mask password input","webkit","Fri Apr 17 15:44:18 UTC 2026","passed","Fri Apr 17 15:44:22 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2562","should handle long email input","chromium","Fri Apr 17 15:40:09 UTC 2026","passed","Fri Apr 17 15:40:12 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","600","should display all images","chromium","Fri Apr 17 15:39:07 UTC 2026","passed","Fri Apr 17 15:39:08 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1391","should navigate to Blog page","firefox","Fri Apr 17 15:40:48 UTC 2026","passed","Fri Apr 17 15:40:50 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3049","should navigate to sign in page from landing page","firefox","Fri Apr 17 15:40:58 UTC 2026","passed","Fri Apr 17 15:41:01 UTC 2026","Sign In Page Tests > Navigation","signIn.spec.js","",""
"","3462","should toggle remember me checkbox","webkit","Fri Apr 17 15:43:30 UTC 2026","passed","Fri Apr 17 15:43:33 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","3392","should handle long email input","webkit","Fri Apr 17 15:44:07 UTC 2026","passed","Fri Apr 17 15:44:11 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2543","should navigate to sign in page from landing page","chromium","Fri Apr 17 15:39:20 UTC 2026","passed","Fri Apr 17 15:39:23 UTC 2026","Sign In Page Tests > Navigation","signIn.spec.js","",""
"","4147","should not sign in with wrong password","webkit","Fri Apr 17 15:43:45 UTC 2026","passed","Fri Apr 17 15:43:49 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","598","should display hero heading","chromium","Fri Apr 17 15:39:04 UTC 2026","passed","Fri Apr 17 15:39:05 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2587","should not sign in with empty fields","chromium","Fri Apr 17 15:39:56 UTC 2026","passed","Fri Apr 17 15:39:58 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","1410","should display Try for free button","webkit","Fri Apr 17 15:42:34 UTC 2026","passed","Fri Apr 17 15:42:36 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","790","should display hero description text","firefox","Fri Apr 17 15:40:41 UTC 2026","passed","Fri Apr 17 15:40:41 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2577","should handle long password input","chromium","Fri Apr 17 15:40:12 UTC 2026","passed","Fri Apr 17 15:40:15 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2785","should sign in successfully with valid credentials","chromium","Fri Apr 17 15:39:33 UTC 2026","passed","Fri Apr 17 15:39:36 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","1252","should display Login link","webkit","Fri Apr 17 15:42:27 UTC 2026","passed","Fri Apr 17 15:42:29 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2745","should navigate to Login page","chromium","Fri Apr 17 15:39:12 UTC 2026","passed","Fri Apr 17 15:39:15 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1393","should display correctly on tablet viewport","webkit","Fri Apr 17 15:42:59 UTC 2026","passed","Fri Apr 17 15:43:00 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","614","should display the header","chromium","Fri Apr 17 15:39:00 UTC 2026","passed","Fri Apr 17 15:39:01 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1465","should display Get a demo button in hero","webkit","Fri Apr 17 15:42:36 UTC 2026","passed","Fri Apr 17 15:42:37 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3922","should not sign in with wrong email","webkit","Fri Apr 17 15:43:41 UTC 2026","passed","Fri Apr 17 15:43:44 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","2772","should allow typing in form fields","chromium","Fri Apr 17 15:39:39 UTC 2026","passed","Fri Apr 17 15:39:42 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","2528","should navigate to sign up page","firefox","Fri Apr 17 15:41:27 UTC 2026","passed","Fri Apr 17 15:41:29 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","1013","should click Get a demo from hero","firefox","Fri Apr 17 15:40:55 UTC 2026","passed","Fri Apr 17 15:40:56 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1320","should display the header","webkit","Fri Apr 17 15:42:22 UTC 2026","passed","Fri Apr 17 15:42:23 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2898","should not sign in with wrong password","chromium","Fri Apr 17 15:39:53 UTC 2026","passed","Fri Apr 17 15:39:56 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","1453","should display Features button","webkit","Fri Apr 17 15:42:26 UTC 2026","passed","Fri Apr 17 15:42:27 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","2726","should not sign in with wrong email","firefox","Fri Apr 17 15:41:29 UTC 2026","passed","Fri Apr 17 15:41:32 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","2876","should not sign in with wrong email","chromium","Fri Apr 17 15:39:50 UTC 2026","passed","Fri Apr 17 15:39:53 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","2943","should toggle remember me checkbox","chromium","Fri Apr 17 15:39:42 UTC 2026","passed","Fri Apr 17 15:39:45 UTC 2026","Sign In Page Tests > Positive Test Cases","signIn.spec.js","",""
"","603","should display Login link","chromium","Fri Apr 17 15:39:03 UTC 2026","passed","Fri Apr 17 15:39:03 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3665","should handle SQL injection attempt","webkit","Fri Apr 17 15:43:56 UTC 2026","passed","Fri Apr 17 15:44:00 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","2665","should display forget password and sign up links","firefox","Fri Apr 17 15:41:09 UTC 2026","passed","Fri Apr 17 15:41:12 UTC 2026","Sign In Page Tests > UI Elements Visibility","signIn.spec.js","",""
"","1490","should display the logo","webkit","Fri Apr 17 15:42:23 UTC 2026","passed","Fri Apr 17 15:42:24 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","922","should click Get a demo from hero","chromium","Fri Apr 17 15:39:17 UTC 2026","passed","Fri Apr 17 15:39:18 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","1461","should load the correct URL","firefox","Fri Apr 17 15:40:31 UTC 2026","passed","Fri Apr 17 15:40:32 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3707","should handle XSS attempt","webkit","Fri Apr 17 15:44:00 UTC 2026","passed","Fri Apr 17 15:44:03 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","685","should display correctly on mobile viewport","chromium","Fri Apr 17 15:39:18 UTC 2026","passed","Fri Apr 17 15:39:19 UTC 2026","Landing Page Tests","landing.spec.js","",""
"","3361","should not sign in with empty fields","webkit","Fri Apr 17 15:43:49 UTC 2026","passed","Fri Apr 17 15:43:52 UTC 2026","Sign In Page Tests > Negative Test Cases","signIn.spec.js","",""
"","2773","should clear form fields","chromium","Fri Apr 17 15:40:15 UTC 2026","passed","Fri Apr 17 15:40:17 UTC 2026","Sign In Page Tests > Edge Case Tests","signIn.spec.js","",""
"","681","should display Features button","chromium","Fri Apr 17 15:39:02 UTC 2026","passed","Fri Apr 17 15:39:03 UTC 2026","Landing Page Tests","landing.spec.js","",""
